Title,Author,Genre,Number of pages,Publisher,price
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,179,,60
Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,179,,60
Girl who played with Fire,"Larsson, Steig",fiction,179,,60
Batman Handbook,,comic,270,,60
Murphy's Law,,nonfiction,178,,60
Structure and Randomness,"Tao, Terence",mathematics,252,,80
Image Processing with MATLAB,"Eddins, Steve",signal_processing,241,,50
Animal Farm,"Orwell, George",fiction,180,,60
"Idiot, The","Dostoevsky, Fyodor",fiction,197,,60
"Christmas Carol, A","Dickens, Charles",fiction,196,,60
Marwan's Adventure,Marwan Mohammed,Comdey,200,NA,200
